"","...1","kingdom","class","family","scientificName","establishmentMeans","organismQuantity","basisOfRecord","Fuente del dato","institutionCode","recordedBy","year","month","day","Nombre de la Localidad","locationRemarks","locality","municipality","county","stateProvince","verbatimLatitude","verbatimLongitude","verbatimElevation","eventRemarks","occurrenceStatus","Estudio","organismQuanityType","eventDate","minimumElevationInMeters","maximumElevationInMeters"
"1",1,"Animalia","Amphibia","Calyptocephalellidae","Calyptocephalella gayi","indigenous","1","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Muñoz-Pedreros, Zamorano",2012,"11",3,"Cerro Illi","Riñinahue","Lago Ranco","Lago Ranco","Ranco","Región de Los Ríos","40° 17' 26""S","72° 13' 33""","500","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-03,"500","500"
"2",2,"Animalia","Amphibia","Ceratophryidae","Batrachyla leptopus","","1","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Jara, Cuevas, Zamorano, Rudolph",2012,"11",16,"Fundo San Patricio","Cordillera de Mahuidanche","Pitrufquén","Pitrufquén","Cautín","Región de La Araucanía","39°13'51""S","72°52'05""O","157","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-16,"157","157"
"3",3,"Animalia","Amphibia","Ceratophryidae","Batrachyla leptopus","","1","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Jara, Cuevas, Zamorano, Rudolph",2012,"11",29,"Arroyo sin nombre en Salto del Agua","Salto del Agua","Lanco","Lanco","Valdivia","Región de Los Ríos","39°27'54""S","72°34'30""O","211","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-29,"211","211"
"4",4,"Animalia","Amphibia","Ceratophryidae","Batrachyla leptopus","","1","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Muñoz-Pedreros, Zamorano",2012,"11",3,"Cerro Illi","Riñinahue","Lago Ranco","Lago Ranco","Ranco","Región de Los Ríos","40° 17' 26""S","72° 13' 33""","500","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-03,"500","500"
"5",5,"Animalia","Amphibia","Ceratophryidae","Batrachyla leptopus","","1","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Cuevas, Norambuena",2012,"12",16,"El Tigre","Palena","Palena","Palena","Palena","Región de Los Lagos","43°38'01"" S","72°52'04"" O","284","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-16,"284","284"
"6",6,"Animalia","Amphibia","Ceratophryidae","Batrachyla leptopus","","1","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Cuevas, Norambuena",2012,"12",16,"El Azul","Palena","Palena","Palena","Palena","Región de Los Lagos","43°39'47""S","71°49'41""O","262","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-16,"262","262"
"7",7,"Animalia","Amphibia","Ceratophryidae","Batrachyla leptopus","","2","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Cuevas, Norambuena",2012,"12",16,"Laguna Negra","Palena","Palena","Palena","Palena","Región de Los Lagos","43°38'03""S","71°50'24""O","278","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-16,"278","278"
"8",8,"Animalia","Amphibia","Ceratophryidae","Batrachyla leptopus","","1","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Cuevas, Norambuena",2012,"12",17,"Lago Verde","Lago Verde 10km antes de la ciudad","Lago Verde","Lago Verde","Aysén","Región de Aysén","44°10'18""S","72°05'29""O","219","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-17,"219","219"
"9",9,"Animalia","Amphibia","Ceratophryidae","Batrachyla leptopus","","1","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Cuevas, Norambuena",2012,"12",17,"Laguna en Lago Verde","a 1km al Este de la ciudad","Lago Verde","Lago Verde","Aysén","Región de Aysén","44°14'39""S","71°50'06""O","385","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-17,"385","385"
"10",10,"Animalia","Amphibia","Ceratophryidae","Batrachyla leptopus","","6","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Cuevas, Norambuena",2012,"12",17,"Estancia Cacique Blanco","Lago Verde","Lago Verde","Lago Verde","Aysén","Región de Aysén","44°16'47""S","71°55'46""O","303","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-17,"303","303"
"11",11,"Animalia","Amphibia","Ceratophryidae","Batrachyla leptopus","","1","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Cuevas, Norambuena",2012,"12",20,"Arroyo Loreto (Pte. Mañío)","Puyuhuapi","Puyuhuapi","Cisnes","Aysén","Región de Aysén","44°06'02""S","72°27'02""O","87","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-20,"87","87"
"12",12,"Animalia","Amphibia","Ceratophryidae","Eupsophus calcaratus","","1","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Cuevas, Norambuena",2012,"12",17,"Lago Verde","Lago Verde 10km antes de la ciudad","Lago Verde","Lago Verde","Aysén","Región de Aysén","44°10'18""S","72°05'29""O","219","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-17,"219","219"
"13",13,"Animalia","Amphibia","Cycloramphidae","Eupsophus calcaratus","","1","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Muñoz-Pedreros, Zamorano",2012,"11",3,"Cerro Illi","Riñinahue","Lago Ranco","Lago Ranco","Ranco","Región de Los Ríos","40° 17' 26""S","72° 13' 33""","500","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-03,"500","500"
"14",14,"Animalia","Amphibia","Cycloramphidae","Eupsophus migueli","indigenous","3","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Jara, Cuevas, Zamorano, Rudolph",2012,"10",18,"Estero Pichicullín","Mehuín","San José de la Mariquina","San José de la Mariquina","Valdivia","Región de Los Ríos","39°25'10""S","73°12'24""O","21","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-10-18,"21","21"
"15",15,"Animalia","Amphibia","Cycloramphidae","Eupsophus migueli","indigenous","4","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Jara, Cuevas, Zamorano, Rudolph",2012,"10",19,"Valle de Maitinco","Maitinco","Toltén","Toltén","Cautín","Región de La Araucanía","39°20'48""S","73°09'13""O","27","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-10-19,"27","27"
"16",16,"Animalia","Amphibia","Cycloramphidae","Eupsophus roseus","indigenous","7","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Jara, Cuevas, Zamorano, Rudolph",2012,"11",16,"Arroyo en Lastarria","Lastarria camino a Los Boldos","Lastarria","Loncoche","Cautín","Región de La Araucanía","39°13'59""S","72°41'11""O","119","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-16,"119","119"
"17",17,"Animalia","Amphibia","Cycloramphidae","Eupsophus roseus","indigenous","7","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Jara, Cuevas, Zamorano, Rudolph",2012,"11",29,"Arroyo sin nombre en Salto del Agua","Salto del Agua","Lanco","Lanco","Valdivia","Región de Los Ríos","39°27'54""S","72°34'30""O","211","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-29,"211","211"
"18",18,"Animalia","Amphibia","Cycloramphidae","Eupsophus roseus","indigenous","3","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Jara, Cuevas, Zamorano, Rudolph",2012,"11",29,"Arroyo sin nombre en Antilhue","Antilhue","Lanco","Lanco","Valdivia","Región de Los Ríos","39°30'33""S","72°30'23""O","149","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-29,"149","149"
"19",19,"Animalia","Amphibia","Cycloramphidae","Eupsophus vertebralis","","6","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Jara, Cuevas, Zamorano, Rudolph",2012,"11",16,"Arroyo en Lastarria","Lastarria camino a Los Boldos","Lastarria","Loncoche","Cautín","Región de La Araucanía","39°13'59""S","72°41'11""O","119","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-16,"119","119"
"20",20,"Animalia","Amphibia","Cycloramphidae","Eupsophus vertebralis","","2","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Jara, Cuevas, Zamorano, Rudolph",2012,"11",16,"Fundo San Patricio","Cordillera de Mahuidanche","Pitrufquén","Pitrufquén","Cautín","Región de La Araucanía","39°13'51""S","72°52'05""O","157","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-16,"157","157"
"21",21,"Animalia","Amphibia","Cycloramphidae","Eupsophus vertebralis","","3","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Jara, Cuevas, Zamorano, Rudolph",2012,"11",29,"Arroyo sin nombre en Salto del Agua","Salto del Agua","Lanco","Lanco","Valdivia","Región de Los Ríos","39°27'54""S","72°34'30""O","211","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-29,"211","211"
"22",22,"Animalia","Amphibia","Leptodactylidae","Pleurodema bufonina","","-","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Cuevas, Norambuena",2012,"12",16,"Futaleufú","Futaleufú","Futaleufú","Futaleufú","Palena","Región de Los Lagos","47°11'15""S","71°51'36""O","357","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-16,"357","357"
"23",23,"Animalia","Amphibia","Leptodactylidae","Pleurodema bufonina","","8","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Cuevas, Norambuena",2012,"12",16,"El Tigre","Palena","Palena","Palena","Palena","Región de Los Lagos","43°38'01"" S","72°52'04"" O","285","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-16,"285","285"
"24",24,"Animalia","Amphibia","Leptodactylidae","Pleurodema bufonina","","3","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Cuevas, Norambuena",2012,"12",18,"La Tapera","1km al Oeste de La Tapera","La Tapera","Lago Verde","Aysén","Región de Aysén","44°38'34"" S","71°41'26""O","519","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-18,"519","519"
"25",25,"Animalia","Amphibia","Leptodactylidae","Pleurodema bufonina","","3","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Cuevas, Norambuena",2012,"12",18,"La Tapera","5km al Oeste de La Tapera","La Tapera","Lago Verde","Aysén","Región de Aysén","44°38'34"" S","71°41'26"" O","519","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-18,"519","519"
"26",26,"Animalia","Amphibia","Leptodactylidae","Pleurodema thaul","","-","acústico","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Muñoz-Pedreros",2012,"12",5,"Laguna Lanalhue","Huedales de Buchoco","Contulmo","Contulmo","Arauco","Del Biobío","37°59'41""S","72°16'00""W","12","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-05,"12","12"
"27",27,"Animalia","Amphibia","Leptodactylidae","Pleurodema thaul","","2","Búsqueda intensiva","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Muñoz-Pedreros, Zamorano",2012,"11",3,"Cerro Illi","Riñinahue","Lago Ranco","Lago Ranco","Ranco","Región de Los Ríos","40° 17' 26""S","72° 13' 33""","500","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-03,"500","500"
"28",28,"Animalia","Aves","Accipitridae","Accipiter chilensis","","1","Binoculares, catalejo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Muñoz-Pedreros, Contreras, González",2013,"1",24,"Predio Llancahue","7 km de Valdivia","Valdivia","Valdivia","Valdivia","Región de Los Ríos","39°48'S","73°11'O","60","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2013-01-24,"60","60"
"29",29,"Animalia","Aves","Accipitridae","Buteo ventralis",""," 2","Binoculares, catalejo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Muñoz-Pedreros, Zamorano",2012,"11",3,"Cerro Illi","Riñinahue","Lago Ranco","Lago Ranco","Ranco","Región de Los Ríos","40° 17' 26""S","72° 13' 33""","500","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-03,"500","500"
"30",30,"Animalia","Aves","Accipitridae","Circus cinereus","","3","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Schmitt",2012,"11",23,"Punta Teatinos","Punta Teatinos.","La Serena","La Serena","Elqui","Coquimbo","29°49'23""S","71°17'21""W","5","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-23,"5","5"
"31",31,"Animalia","Aves","Accipitridae","Circus cinereus","","1","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Schmitt",2012,"11",25,"Río La Ligua","Desembocadura, río La Ligua, salinas de Puyalli","Papudo","Papudo","Petorca","Valparaíso","33°24'36""S","71°24'39""W","6","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-25,"6","6"
"32",32,"Animalia","Aves","Accipitridae","Circus cinereus","","1","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Schmitt",2012,"11",22,"Río Choapa.","Desembocadura Río Choapa.","Canela","Canela","Choapa","Coquimbo","33°37'14""S","71°33'33""W","7","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-22,"7","7"
"33",33,"Animalia","Aves","Accipitridae","Circus cinereus","","8","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","F. Díaz, M. Daigre",2012,"12",6,"Humedal Ciénagas del Name.","Humedal Ciénagas del Name.","Cauquenes","Cauquenes","Talca","Del Maule","35°45'5.5""S","71°12'42""W","-","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-06,"-","-"
"34",34,"Animalia","Aves","Accipitridae","Circus cinereus","","1","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","F. Díaz, M. Daigre",2012,"12",7,"Chillán.","Chillán.","Chillán.","Chillán.","Ñuble","Del Biobío","36°35'39""S","71°08'42""W","-","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-07,"-","-"
"35",35,"Animalia","Aves","Accipitridae","Circus cinereus","","1","catalejo y binoculares","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Muñoz-Pedreros",2012,"12",5,"Estanque en ex fundo Saboya.","Saboya","Los Sauces","Los Sauces","Malleco","De la Araucanía","38°01'04""S","72°48'44""W","150","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-05,"150","150"
"36",36,"Animalia","Aves","Accipitridae","Circus cinereus","","1","Binoculares, catalejo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Cuevas, Norambuena",2012,"12",18,"Estancia Río Cisnes","La Tapera","La Tapera","Lago Verde","Aysén","Región de Aysén","44°35'06""S","71°31'00""O","592","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-18,"592","592"
"37",37,"Animalia","Aves","Accipitridae","Elanus leucurus","","1","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Schmitt",2012,"11",23,"Río Elqui","Desembocadura, Río Elqui","La Serena","La Serena","Elqui","Coquimbo","29°53'36""S","71°16'22""W","3","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-23,"3","3"
"38",38,"Animalia","Aves","Accipitridae","Elanus leucurus","","1","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","R. Barros",2012,"12",18,"Tunquén","Tunquén","Casablaca","Casablanca","Valparaíso","Valparaíso","33°16'25""S","71°40'19""W","53","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-18,"53","53"
"39",39,"Animalia","Aves","Accipitridae","Elanus leucurus","","1","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","R. Barros",2012,"12",18,"Río Maipo, Huechún Bajo","Río Maipo, Huechún Bajo","Melipilla","Melipilla","Melipilla","Metropolitana","33°41'25""S","71°09'35""W","187","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-18,"187","187"
"40",40,"Animalia","Aves","Accipitridae","Elanus leucurus","","1","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","R. Barros",2012,"11",4,"La Manreza","La Manreza","Melipilla","Melipilla","Melipilla","Metropolitana","33°42'58""S","71°00'23""W","267","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-04,"267","267"
"41",41,"Animalia","Aves","Accipitridae","Elanus leucurus","","1","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","F. Díaz, M. Daigre",2012,"12",3,"Llallauquén.","Llallauquén.","Las Cabras","Las Cabras","Cachapoal","O'Higgins.","34°14'04""S","71°26'10""W","112","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-03,"112","112"
"42",42,"Animalia","Aves","Accipitridae","Elanus leucurus","","1","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","F. Díaz, M. Daigre",2012,"12",4,"Sector Pataguilla.","Sector Pataguilla.","Santa Cruz","Santa Cruz","Colchagua","O'Higgins.","34°41'18""S","71°23'57""W","171","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-04,"171","171"
"43",43,"Animalia","Aves","Accipitridae","Elanus leucurus","","1","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","F. Díaz, M. Daigre",2012,"12",5,"Fundo la Peña,  Botalcura.","Fundo la Peña,  Botalcura.","Pencahue","Pencahue","Talca","Del Maule","35°15'19""S","72°46'07""W","73","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-05,"73","73"
"44",44,"Animalia","Aves","Accipitridae","Elanus leucurus","","1","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","F. Díaz, M. Daigre",2012,"12",7,"Chillán.","Chillán.","Chillán.","Chillán.","Ñuble","Del Biobío","36°35'39""S","71°08'42""W","-","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-07,"-","-"
"45",45,"Animalia","Aves","Accipitridae","Elanus leucurus","","1","observación","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Muñoz-Pedreros",2012,"12",6,"Carampangue viejo","Potreros de vegas junto a la carretera Lota Concepción.","Carampangue viejo","Arauco","Arauco","Del Biobío","37°07'04""S","73°05'09""W","9","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-06,"9","9"
"46",46,"Animalia","Aves","Accipitridae","Geranoaetus melanoleucus","","1","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Schmitt",2012,"11",24,"Río Limarí.","Desembocadura Río Limarí.","Ovalle","Ovalle","Limarí","Coquimbo","30°43'51""S","71°42'01""W","0","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-24,"0","0"
"47",47,"Animalia","Aves","Accipitridae","Geranoaetus melanoleucus","","3","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","R. Barros",2012,"11",4,"La Manreza","La Manreza","Melipilla","Melipilla","Melipilla","Metropolitana","33°42'58""S","71°00'23""W","267","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-04,"267","267"
"48",48,"Animalia","Aves","Accipitridae","Geranoaetus melanoleucus","","1","Binoculares, catalejo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Cuevas, Norambuena",2012,"12",18,"La Tapera","1km al Oeste de La Tapera","La Tapera","Lago Verde","Aysén","Región de Aysén","44°38'34"" S","71°41'26""O","519","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-18,"519","519"
"49",49,"Animalia","Aves","Accipitridae","Geranoaetus melanoleucus","","1","Binoculares, catalejo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Cuevas, Norambuena",2012,"12",18,"La Tapera","5km al Oeste de La Tapera","La Tapera","Lago Verde","Aysén","Región de Aysén","44°38'34"" S","71°41'26""O","519","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-18,"519","519"
"50",50,"Animalia","Aves","Accipitridae","Geranoaetus polyosoma","","1","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Schmitt",2012,"11",24,"Río Limarí.","Desembocadura Río Limarí.","Ovalle","Ovalle","Limarí","Coquimbo","30°43'51""S","71°42'01""W","0","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-24,"0","0"
"51",51,"Animalia","Aves","Accipitridae","Geranoaetus polyosoma","","1","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","R. Barros",2012,"12",18,"Tunquén","Tunquén","Casablaca","Casablanca","Valparaíso","Valparaíso","33°16'25""S","71°40'19""W","53","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-18,"53","53"
"52",52,"Animalia","Aves","Accipitridae","Geranoaetus polyosoma","","1","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Schmitt",2012,"11",25,"Río La Ligua","Desembocadura, río La Ligua, salinas de Puyalli","Papudo","Papudo","Petorca","Valparaíso","33°24'36""S","71°24'39""W","6","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-25,"6","6"
"53",53,"Animalia","Aves","Accipitridae","Geranoaetus polyosoma","","1","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","F. Díaz, M. Daigre",2012,"12",4,"Río Teno","Río Teno","Teno","Teno","Curicó","Del Maule","34°54'15""S","71°09'34""W","295","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-04,"295","295"
"54",54,"Animalia","Aves","Accipitridae","Geranoaetus polyosoma","","1","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","F. Díaz, M. Daigre",2012,"12",5,"Tranque agrícola Las Tagüitas.","Tranque agrícola Las Tagüitas.","Coihueco","Coihueco","Ñuble","Del Biobío","36°35'50""S","71°59'57""W","240","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-05,"240","240"
"55",55,"Animalia","Aves","Accipitridae","Geranoaetus polyosoma","","1","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","F. Díaz, M. Daigre",2012,"12",5,"Embalse Coihueco.","Embalse Coihueco.","Coihueco","Coihueco","Ñuble","Del Biobío","36°39'25""S","71°47'41""W","240","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-05,"240","240"
"56",56,"Animalia","Aves","Accipitridae","Geranoaetus polyosoma","","1","Binoculares, catalejo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Jara, Zamorano, Matamala",2012,"10",14,"Laguna Malleco","Cercanías Laguna Malleco.","Parque Nacional Tolhuaca","Curacautín","Malleco","Del Biobío","38°12'44""S","71°49'10""W","905","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-10-14,"905","905"
"57",57,"Animalia","Aves","Accipitridae","Geranoaetus polyosoma","","1","Binoculares, catalejo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Jara, Cuevas, Zamorano, Rudolph",2012,"10",18,"Estero en cerro en Mehuín","Mehuín","San José de la Mariquina","San José de la Mariquina","Valdivia","Región de Los Ríos","39°25'35""S","73°12'39""O","102","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-10-18,"102","102"
"58",58,"Animalia","Aves","Accipitridae","Geranoaetus polyosoma","","1","Binoculares, catalejo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Jara, Cuevas, Zamorano, Rudolph",2012,"11",16,"Fundo San Patricio","Cordillera de Mahuidanche","Pitrufquén","Pitrufquén","Cautín","Región de La Araucanía","39°13'51""S","72°52'05""O","157","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-16,"157","157"
