,Unnamed: 0,decimalLongitude,decimalLatitude,verbatimSRS,geodeticDatum,continent,country,countryCode,stateProvince,county,municipality,verbatimCoordinates,verbatimCoordinateSystem,dynamicProperties,coordinateUncertaintyInMeters,coordinatePrecision,georeferencedDate,georeferenceProtocol 
15,16,-38.006361,-73.226342,unknown,datum not recorded,,,,,,,-73.226342 -38.006361,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",3525,0.0000001,2022-11-29T08:44:39.966Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
16,17,-37.928167,-73.258344,unknown,datum not recorded,,,,,,,-73.258344 -37.928167,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",3525,0.0000001,2022-11-29T08:44:40.519Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
17,18,-37.964049,-73.258938,unknown,datum not recorded,,,,,,,-73.258938 -37.964049,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",3525,0.0000001,2022-11-29T08:44:41.022Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
18,19,-37.950305,-73.259911,unknown,datum not recorded,,,,,,,-73.259911 -37.950305,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",3525,0.0000001,2022-11-29T08:44:41.521Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
19,20,-37.564169,-73.13453,unknown,datum not recorded,,,,,,,-73.13453 -37.564169,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",3526,0.0000001,2022-11-29T08:44:42.051Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
20,21,-37.896426,-73.416179,unknown,datum not recorded,,,,,,,-73.416179 -37.896426,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",3525,0.0000001,2022-11-29T08:44:42.574Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
21,22,-38.00715,-73.232925,unknown,datum not recorded,,,,,,,-73.232925 -38.00715,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",3525,0.0000001,2022-11-29T08:44:43.105Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
22,23,-37.960254,-73.208428,unknown,datum not recorded,,,,,,,-73.208428 -37.960254,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",3525,0.0000001,2022-11-29T08:44:43.640Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
23,24,-37.921671,-73.293486,unknown,datum not recorded,,,,,,,-73.293486 -37.921671,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",3525,0.0000001,2022-11-29T08:44:44.154Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
24,25,-37.904217,-73.323321,unknown,datum not recorded,,,,,,,-73.323321 -37.904217,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",3525,0.0000001,2022-11-29T08:44:44.686Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
25,26,-37.897712,-73.359216,unknown,datum not recorded,,,,,,,-73.359216 -37.897712,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",3525,0.0000001,2022-11-29T08:44:45.279Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
26,27,-37.892923,-73.385319,unknown,datum not recorded,,,,,,,-73.385319 -37.892923,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 0}",3525,0.0000001,2022-11-29T08:44:45.871Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
