"","catalogNumber","verbatimLatitude","verbatimLongitude","verbatimCoordinates","verbatimSRS","decimalLongitude","decimalLatitude"
"5049","GC5049",4030105.78,402581.72,"19F 402581,72  4030105,78","WGS84",-70.4815583245397,-53.8683721939051
"5050","GC5050",4029461.14,403128.28,"19F 403128,28  4029461,14","WGS84",-70.4734527665542,-53.8742666704361
"5051","GC5051",4029451.73,402943.59,"19F 402943,59  4029451,73","WGS84",-70.4762639177183,-53.8743167096641
"5052","GC5052",4029457.86,402910.95,"19F 402910,95  4029457,86","WGS84",-70.4767582616542,-53.8742555250001
"5053","GC5053",4029461.39,402872.69,"19F 402872,69  4029461,39","WGS84",-70.4773388783403,-53.8742166477361
"5054","GC5054",4029357.79,403302.52,"19F 403302,52  4029357,79","WGS84",-70.470836069273,-53.8752277827581
"5055","GC5055",4014958.4,385585.79,"19F 385585,79  4014958,4","WGS84",-70.745586113798,-54.0009860832777
"5056","GC5056",4014931.96,385592.09,"19F 385592,09  4014931,96","WGS84",-70.7454999858711,-54.0012250088217
"5057","GC5057",4015707.87,385408.99,"19F 385408,99  4015707,87","WGS84",-70.7479999614804,-53.9942138524305
"5058","GC5058",4015683.25,385351.29,"19F 385351,29  4015683,25","WGS84",-70.7488889510626,-53.9944222316547
"5059","GC5059",4015659.05,385510.94,"19F 385510,94  4015659,05","WGS84",-70.7464639478477,-53.9946750401448
"5060","GC5060",4015858.63,385466.48,"19F 385466,48  4015858,63","WGS84",-70.7470667295725,-53.992872210324
"5061","GC5061",4015890.47,385453.86,"19F 385453,86  4015890,47","WGS84",-70.7472471545085,-53.9925833702827
"5062","GC5062",4015906,385368.93,"19F 385368,93  4015906","WGS84",-70.748536135031,-53.9924250179175
"5063","GC5063",4016015.64,385288.79,"19F 385288,79  4016015,64","WGS84",-70.7497166237257,-53.9914222558804
"5064","GC5064",4025168.68,384469.21,"19F 384469,21  4025168,68","WGS84",-70.7587471900988,-53.9090110710084
"5065","GC5065",4025078.39,384568.75,"19F 384568,75  4025078,39","WGS84",-70.7572667186197,-53.909844399561
"5066","GC5066",4025063.4,384625.54,"19F 384625,54  4025063,4","WGS84",-70.7564082763136,-53.9099917126866
"5067","GC5067",4025053.35,384668.87,"19F 384668,87  4025053,35","WGS84",-70.7557527694954,-53.9100916444351
"5068","GC5068",4025264.09,384464.1,"19F 384464,1  4025264,09","WGS84",-70.7587889192471,-53.9081527859147
"5069","GC5069",4025351.91,384339.78,"19F 384339,78  4025351,91","WGS84",-70.7606472534827,-53.9073361000572
"5070","GC5070",4025370.96,384322.51,"19F 384322,51  4025370,96","WGS84",-70.7609028102771,-53.9071611044361
"5071","GC5071",4025413.5,384279.83,"19F 384279,83  4025413,5","WGS84",-70.7615360844205,-53.9067694062251
"5072","GC5072",4022763.25,400909.03,"19F 400909,03  4022763,25","WGS84",-70.509363847545,-53.9340278146993
"5073","GC5073",4022548.88,401019.22,"19F 401019,22  4022548,88","WGS84",-70.5077555123487,-53.935974983484
"5074","GC5074",4022488.27,401076.88,"19F 401076,88  4022488,27","WGS84",-70.5068971493024,-53.9365305782481
"5075","GC5075",4022463.44,401101.48,"19F 401101,48  4022463,44","WGS84",-70.5065305982991,-53.9367583730261
"5076","GC5076",4022040.31,405935.49,"19F 405935,49  4022040,31","WGS84",-70.4330500192136,-53.9414611207198
"5077","GC5077",4021865.54,406144.76,"19F 406144,76  4021865,54","WGS84",-70.4299166496041,-53.9430694499835
"5078","GC5078",4021860.42,406212.53,"19F 406212,53  4021860,42","WGS84",-70.4288860772005,-53.9431277379853
"5079","GC5079",4021854.58,406229.61,"19F 406229,61  4021854,58","WGS84",-70.4286277397124,-53.9431833060587
"5080","GC5080",4021849.31,406244.49,"19F 406244,49  4021849,31","WGS84",-70.4284027329247,-53.94323335353
"5081","GC5081",4021868.95,406191.2,"19F 406191,2  4021868,95","WGS84",-70.4292083156341,-53.9430472289404
"5082","GC5082",4021949.54,406033.26,"19F 406033,26  4021949,54","WGS84",-70.4315889587504,-53.9422944641507
"5083","GC5083",4022068.23,405924.89,"19F 405924,89  4022068,23","WGS84",-70.4332028516785,-53.9412083278806
"5084","GC5084",4022435.98,400105.32,"19F 400105,32  4022435,98","WGS84",-70.5217083054285,-53.9368138530995
"5085","GC5085",4022434.98,400145.47,"19F 400145,47  4022434,98","WGS84",-70.521097259994,-53.9368305830793
"5086","GC5086",4022464.93,400301.9,"19F 400301,9  4022464,93","WGS84",-70.5187054908392,-53.9365916332142
"5087","GC5087",4017417.93,403899.81,"19F 403899,81  4017417,93","WGS84",-70.4655083577903,-53.98261945415
"5088","GC5088",4017450.06,403883.66,"19F 403883,66  4017450,06","WGS84",-70.4657444160949,-53.9823277631269
"5089","GC5089",4017153.58,404393.05,"19F 404393,05  4017153,58","WGS84",-70.4580722094476,-53.9850861177028
"5090","GC5090",4017168.24,404384.37,"19F 404384,37  4017168,24","WGS84",-70.4581999363167,-53.984952791435
"5091","GC5091",4017193.73,404361.25,"19F 404361,25  4017193,73","WGS84",-70.4585444018931,-53.9847194853068
"5092","GC5092",4017203.17,404339.19,"19F 404339,19  4017203,17","WGS84",-70.4588777443149,-53.9846305840502
"5093","GC5093",4017116.24,404411.49,"19F 404411,49  4017116,24","WGS84",-70.4578028051655,-53.9854250295135
"5094","GC5094",4017545.75,403995.93,"19F 403995,93  4017545,75","WGS84",-70.4640027964892,-53.981488852735
"5095","GC5095",4017539.03,403970.01,"19F 403970,01  4017539,03","WGS84",-70.464400036201,-53.9815444171445
"5096","GC5096",4017511.15,403848.14,"19F 403848,14  4017511,15","WGS84",-70.4662666089329,-53.9817722631851
"5097","GC5097",4017353.74,403935.03,"19F 403935,03  4017353,74","WGS84",-70.4649916953298,-53.9832027486026
"5098","GC5098",4017696.12,403972.05,"19F 403972,05  4017696,12","WGS84",-70.4643194272571,-53.9801333411556
"5099","GC5099",4017692.17,404035,"19F 404035  4017692,17","WGS84",-70.4633610993919,-53.9801805223276
"5100","GC5100",4017590.83,403724.76,"19F 403724,76  4017590,83","WGS84",-70.4681222307688,-53.9810333730748
"5101","GC5101",4017530.54,403784.14,"19F 403784,14  4017530,54","WGS84",-70.4672360996269,-53.9815861348539
"5102","GC5102",4017468.17,403862.51,"19F 403862,51  4017468,17","WGS84",-70.4660611156893,-53.9821611113956
"5103","GC5103",4017756.32,403505.39,"19F 403505,39  4017756,32","WGS84",-70.4714138257958,-53.9795055435291
"5104","GC5104",4017827.7,403429.37,"19F 403429,37  4017827,7","WGS84",-70.4725499846942,-53.9788499997178
"5105","GC5105",4018387.95,403342.63,"19F 403342,63  4018387,95","WGS84",-70.4736944632617,-53.973799954969
"5106","GC5106",4018348.35,403296.98,"19F 403296,98  4018348,35","WGS84",-70.4744027791019,-53.9741472241087
"5107","GC5107",4018331.74,403271.26,"19F 403271,26  4018331,74","WGS84",-70.4748000523515,-53.9742916533981
"5108","GC5108",4018473.29,403417.59,"19F 403417,59  4018473,29","WGS84",-70.4725249556256,-53.9730471840931
"5109","GC5109",4018439.22,403399.89,"19F 403399,89  4018439,22","WGS84",-70.4728055139899,-53.9733499960113
"5110","GC5110",4018539.82,403480.36,"19F 403480,36  4018539,82","WGS84",-70.4715472274902,-53.9724611338414
"5111","GC5111",4018672.37,403700.15,"19F 403700,15  4018672,37","WGS84",-70.4681556316949,-53.9713111524094
"5112","GC5112",4018652.25,403654.09,"19F 403654,09  4018652,25","WGS84",-70.4688639514457,-53.9714833506379
"5113","GC5113",4018643.64,403641.51,"19F 403641,51  4018643,64","WGS84",-70.4690583947045,-53.9715583673863
"5114","GC5114",4018642.19,403601.45,"19F 403601,45  4018642,19","WGS84",-70.469669376753,-53.9715639288783
"5115","GC5115",4018712.15,403590.88,"19F 403590,88  4018712,15","WGS84",-70.4698083414369,-53.9709333675611
"5116","GC5116",4019065.66,403359.34,"19F 403359,34  4019065,66","WGS84",-70.473224954857,-53.9677138626693
"5117","GC5117",4019083.79,403562.39,"19F 403562,39  4019083,79","WGS84",-70.4701249789052,-53.9675888686747
"5118","GC5118",4019073.87,403590.85,"19F 403590,85  4019073,87","WGS84",-70.469694419741,-53.9676833062867
"5119","GC5119",4019095.66,403493.79,"19F 403493,79  4019095,66","WGS84",-70.4711666017673,-53.9674694198647
"5120","GC5120",4019259.76,403729.54,"19F 403729,54  4019259,76","WGS84",-70.4675222602835,-53.9660389178776
"5121","GC5121",4019309.18,403712.29,"19F 403712,29  4019309,18","WGS84",-70.4677695156639,-53.9655916670684
"5122","GC5122",4019676.85,403269.51,"19F 403269,51  4019676,85","WGS84",-70.4743999992992,-53.9622055313705
"5123","GC5123",4019626.6,403246.67,"19F 403246,67  4019626,6","WGS84",-70.4747639469275,-53.9626527556062
"5124","GC5124",4019598.36,403241.61,"19F 403241,61  4019598,36","WGS84",-70.474850004385,-53.962905545304
"5125","GC5125",4019047.47,403943.2,"19F 403943,2  4019047,47","WGS84",-70.4643333298504,-53.9679860769927
"5126","GC5126",4019011.45,403920.79,"19F 403920,79  4019011,45","WGS84",-70.464686184961,-53.9683055546487
"5127","GC5127",4018987.85,403900.87,"19F 403900,87  4018987,85","WGS84",-70.46499718541,-53.9685138999359
"5128","GC5128",4018962.21,403886.63,"19F 403886,63  4018962,21","WGS84",-70.4652222732448,-53.9687416295399
"5129","GC5129",4018866.01,403824.46,"19F 403824,46  4018866,01","WGS84",-70.4662000411187,-53.9695944298319
"5130","GC5130",4018850.35,403814.94,"19F 403814,94  4018850,35","WGS84",-70.4663500618998,-53.9697333645505
"5131","GC5131",4018822.62,403804.4,"19F 403804,4  4018822,62","WGS84",-70.4665194364355,-53.9699805584736
"5132","GC5132",4019061.44,404200.66,"19F 404200,66  4019061,44","WGS84",-70.4604055122981,-53.9679083133257
"5133","GC5133",4019017.35,404206.49,"19F 404206,49  4019017,35","WGS84",-70.4603305207722,-53.968305543849
"5134","GC5134",4018981.73,404218.52,"19F 404218,52  4018981,73","WGS84",-70.4601583837914,-53.9686278193646
"5135","GC5135",4018953.77,404226.76,"19F 404226,76  4018953,77","WGS84",-70.460041595174,-53.9688805672999
"5136","GC5136",4018668.95,403833.46,"19F 403833,46  4018668,95","WGS84",-70.4661250449603,-53.9713666910641
"5137","GC5137",4018430.06,404106.69,"19F 404106,69  4018430,06","WGS84",-70.4620361131504,-53.9735638676902
"5138","GC5138",4018470.98,404052.26,"19F 404052,26  4018470,98","WGS84",-70.4628528006321,-53.9731861027295
"5139","GC5139",4018288.8,404272.9,"19F 404272,9  4018288,8","WGS84",-70.4595472671967,-53.9748638935254
"5140","GC5140",4018182.8,404199.82,"19F 404199,82  4018182,8","WGS84",-70.4606944342838,-53.9758027707821
"5141","GC5141",4018157.5,404202.35,"19F 404202,35  4018157,5","WGS84",-70.4606638249551,-53.9760305608599
"5142","GC5142",4018092.01,404189.66,"19F 404189,66  4018092,01","WGS84",-70.4608778335434,-53.9766166388551
"5143","GC5143",4018074.31,404185.84,"19F 404185,84  4018074,31","WGS84",-70.4609416233325,-53.9767749659017
"5144","GC5144",4018241.26,404381.23,"19F 404381,23  4018241,26","WGS84",-70.4579110687923,-53.9753110886557
"5145","GC5145",4018261.99,404322.12,"19F 404322,12  4018261,99","WGS84",-70.4588054963924,-53.9751138932807
"5146","GC5146",4017618.75,404402.79,"19F 404402,79  4017618,75","WGS84",-70.4577777476781,-53.9809083524249
"5147","GC5147",4017618.65,404367.99,"19F 404367,99  4017618,65","WGS84",-70.4583082604444,-53.9809028137862
"5148","GC5148",4017616.16,404337.06,"19F 404337,06  4017616,16","WGS84",-70.4587805302861,-53.98091946326
"5149","GC5149",4017714.83,403562.01,"19F 403562,01  4017714,83","WGS84",-70.4705638919796,-53.9798888966093
"5150","GC5150",4018494,404901.29,"19F 404901,29  4018494","WGS84",-70.449905603268,-53.9731361220651
"5151","GC5151",4018458.63,404849.89,"19F 404849,89  4018458,63","WGS84",-70.450700028122,-53.973444467831
"5152","GC5152",4018438.38,404827.16,"19F 404827,16  4018438,38","WGS84",-70.4510527797509,-53.9736222321226
"5153","GC5153",4018480.72,405038.08,"19F 405038,08  4018480,72","WGS84",-70.4478249310975,-53.9732805850686
"5154","GC5154",4018487.33,404983.08,"19F 404983,08  4018487,33","WGS84",-70.4486611256011,-53.9732110893534
"5155","GC5155",4018487.45,404928.77,"19F 404928,77  4018487,45","WGS84",-70.4494888251574,-53.9732000278725
"5156","GC5156",4018397.29,405221.49,"19F 405221,49  4018397,29","WGS84",-70.4450555177471,-53.9740638645408
"5157","GC5157",4018812.4,404568.15,"19F 404568,15  4018812,4","WGS84",-70.4548832852102,-53.9702138988599
"5158","GC5158",4018824.77,404417.88,"19F 404417,88  4018824,77","WGS84",-70.4571694954835,-53.9700749996266
"5159","GC5159",4021819.64,404995.37,"19F 404995,37  4021819,64","WGS84",-70.4474361536027,-53.9432721829205
"5160","GC5160",4020981.64,405745.37,"19F 405745,37  4020981,64","WGS84",-70.4362722714738,-53.9509388710019
"5161","GC5161",4020959.3,405787.4,"19F 405787,4  4020959,3","WGS84",-70.4356389266578,-53.9511472535136
"5162","GC5162",4019255.64,405349.62,"19F 405349,62  4019255,64","WGS84",-70.4428361658448,-53.9663749676847
"5163","GC5163",4019272.88,405270.52,"19F 405270,52  4019272,88","WGS84",-70.4440361765912,-53.9662055819762
"5164","GC5164",4018783.3,405230.56,"19F 405230,56  4018783,3","WGS84",-70.4447972731649,-53.9705971890613
"5165","GC5165",4018861.33,405509.85,"19F 405509,85  4018861,33","WGS84",-70.4405166902614,-53.969947190781
"5166","GC5166",4018874.19,405655.95,"19F 405655,95  4018874,19","WGS84",-70.4382861688442,-53.9698583178566
"5167","GC5167",4018066.8,405024.85,"19F 405024,85  4018066,8","WGS84",-70.4481555535677,-53.9769972601564
"5168","GC5168",4018053.3,405044.81,"19F 405044,81  4018053,3","WGS84",-70.4478555224874,-53.9771222252472
"5169","GC5169",4020172.9,406403.17,"19F 406403,17  4020172,9","WGS84",-70.4265000632496,-53.9583249577597
"5170","GC5170",4020170.92,406366.57,"19F 406366,57  4020170,92","WGS84",-70.4270582970977,-53.9583361253501
"5171","GC5171",4020172.6,406342.47,"19F 406342,47  4020172,6","WGS84",-70.4274249614868,-53.9583166677146
"5172","GC5172",4020164.54,406295.59,"19F 406295,59  4020164,54","WGS84",-70.4281416855775,-53.9583805990087
"5173","GC5173",4020168.93,406267.97,"19F 406267,97  4020168,93","WGS84",-70.4285611468433,-53.9583361504596
"5174","GC5174",4020204.28,406211.65,"19F 406211,65  4020204,28","WGS84",-70.42940835335,-53.9580083169255
"5175","GC5175",4020217.84,406194.42,"19F 406194,42  4020217,84","WGS84",-70.4296666928231,-53.9578833539427
"5176","GC5176",4020228.49,406185.82,"19F 406185,82  4020228,49","WGS84",-70.4297944434829,-53.9577861023187
"5177","GC5177",4020237.18,406172.33,"19F 406172,33  4020237,18","WGS84",-70.4299972975839,-53.95770557466
"5178","GC5178",4020133.23,406444.81,"19F 406444,81  4020133,23","WGS84",-70.4258778136746,-53.9586889323926
"5179","GC5179",4020539.98,406363.14,"19F 406363,14  4020539,98","WGS84",-70.4269972976009,-53.9550194293707
"5180","GC5180",4020618.86,406334.75,"19F 406334,75  4020618,86","WGS84",-70.4274055932576,-53.9543055384885
"5181","GC5181",4020631.16,406316.27,"19F 406316,27  4020631,16","WGS84",-70.4276833456286,-53.9541916748601
"5182","GC5182",4020637.25,406296.46,"19F 406296,46  4020637,25","WGS84",-70.4279832646748,-53.9541333677809
"5183","GC5183",4021014.76,405991.97,"19F 405991,97  4021014,76","WGS84",-70.4325056242688,-53.9506861402267
"5184","GC5184",4021023.77,406055.25,"19F 406055,25  4021023,77","WGS84",-70.4315389150312,-53.9506166757666
"5185","GC5185",4021027.24,406119.92,"19F 406119,92  4021027,24","WGS84",-70.4305527391478,-53.9505972336214
"5186","GC5186",4020999.58,406143.09,"19F 406143,09  4020999,58","WGS84",-70.4302082992664,-53.9508499669277
"5187","GC5187",4020982.05,406178.64,"19F 406178,64  4020982,05","WGS84",-70.4296721564465,-53.9510139240396
"5188","GC5188",4021524.77,406155.65,"19F 406155,65  4021524,77","WGS84",-70.4298555250245,-53.946133311051
"5189","GC5189",4021700.18,406300.02,"19F 406300,02  4021700,18","WGS84",-70.4276027616355,-53.9445833730391
"5190","GC5190",4021747.74,406220.82,"19F 406220,82  4021747,74","WGS84",-70.4287944240488,-53.9441416929421
"5191","GC5191",4021845.48,406146.44,"19F 406146,44  4021845,48","WGS84",-70.4298972282726,-53.9432499977489
"5192","GC5192",4021919.35,406084.21,"19F 406084,21  4021919,35","WGS84",-70.4308222837839,-53.9425749738699
"5193","GC5193",4020685.6,406809.86,"19F 406809,86  4020685,6","WGS84",-70.4201472638206,-53.9537916553952
"5194","GC5194",4020676.92,406793.08,"19F 406793,08  4020676,92","WGS84",-70.4204055427193,-53.9538666246532
"5195","GC5195",4020606.97,406712.07,"19F 406712,07  4020606,97","WGS84",-70.4216610402867,-53.9544805410994
"5196","GC5196",4020548.63,406670.39,"19F 406670,39  4020548,63","WGS84",-70.4223138493352,-53.9549972218614
"5197","GC5197",4020484.26,406682.26,"19F 406682,26  4020484,26","WGS84",-70.4221527007745,-53.9555777411066
"5198","GC5198",4020447.65,406675.88,"19F 406675,88  4020447,65","WGS84",-70.4222610950753,-53.9559055389695
"5199","GC5199",4020389.23,406676.32,"19F 406676,32  4020389,23","WGS84",-70.4222722592955,-53.9564305344219
"5200","GC5200",4018550.73,402935.71,"19F 402935,71  4018550,73","WGS84",-70.4798444901901,-53.9722611523499
"5201","GC5201",4020084.59,402601.74,"19F 402601,74  4020084,59","WGS84",-70.4844444456016,-53.9584166967657
"5202","GC5202",4020068.95,402592.95,"19F 402592,95  4020068,95","WGS84",-70.484583357576,-53.9585555665692
"5203","GC5203",4020054.91,402586.86,"19F 402586,86  4020054,91","WGS84",-70.4846806239396,-53.9586805686889
"5204","GC5204",4021294.09,402222.05,"19F 402222,05  4021294,09","WGS84",-70.4898416383333,-53.947477780114
"5205","GC5205",4021484.21,402339.33,"19F 402339,33  4021484,21","WGS84",-70.4879944949506,-53.9457917030975
"5206","GC5206",4021730.83,402085.19,"19F 402085,19  4021730,83","WGS84",-70.4917861384791,-53.9435278179748
"5207","GC5207",4020932,402130.82,"19F 402130,82  4020932","WGS84",-70.4913472772124,-53.9507138955621
"5208","GC5208",4020961.08,402175.98,"19F 402175,98  4020961,08","WGS84",-70.4906500586579,-53.9504611523414
"5209","GC5209",4020898.49,402095.6,"19F 402095,6  4020898,49","WGS84",-70.491894513399,-53.9510083186837
"5210","GC5210",4020601.5,401778.56,"19F 401778,56  4020601,5","WGS84",-70.4968194192451,-53.9536166696434
"5211","GC5211",4020599.98,401677.21,"19F 401677,21  4020599,98","WGS84",-70.4983638230088,-53.95361107765
"5212","GC5212",4020595.19,401713.96,"19F 401713,96  4020595,19","WGS84",-70.4978055349894,-53.9536610974837
"5213","GC5213",4020570.38,401607.99,"19F 401607,99  4020570,38","WGS84",-70.4994278276228,-53.9538638727686
"5214","GC5214",4020182.08,401550.03,"19F 401550,03  4020182,08","WGS84",-70.5004360433613,-53.9573416845702
"5215","GC5215",4020171.79,401531.28,"19F 401531,28  4020171,79","WGS84",-70.5007250172765,-53.9574305707574
"5216","GC5216",4020192.43,401571.69,"19F 401571,69  4020192,43","WGS84",-70.5001027180429,-53.9572528122309
"5217","GC5217",4019580.78,401989.54,"19F 401989,54  4019580,78","WGS84",-70.4939333525259,-53.9628277675779
"5218","GC5218",4017977.34,402408.99,"19F 402408,99  4017977,34","WGS84",-70.4880554903705,-53.9773138727777
"5219","GC5219",4017967.7,402391.51,"19F 402391,51  4017967,7","WGS84",-70.4883250116909,-53.9773971873179
"5220","GC5220",4017965.1,402371.15,"19F 402371,15  4017965,1","WGS84",-70.4886361764045,-53.9774167035677
"5221","GC5221",4017944.39,401609.09,"19F 401609,09  4017944,39","WGS84",-70.5002583096434,-53.9774583058915
"5222","GC5222",4017957.6,401590.58,"19F 401590,58  4017957,6","WGS84",-70.5005361763127,-53.9773360926192
"5223","GC5223",4018111.15,401849.04,"19F 401849,04  4018111,15","WGS84",-70.4965472384015,-53.9760055986795
"5224","GC5224",4018166.96,401797.93,"19F 401797,93  4018166,96","WGS84",-70.4973082569252,-53.9754944467666
"5225","GC5225",4018059.49,401730.58,"19F 401730,58  4018059,49","WGS84",-70.498369422241,-53.9764472545546
"5226","GC5226",4019063.01,401627.32,"19F 401627,32  4019063,01","WGS84",-70.4996194565432,-53.9674111118525
"5227","GC5227",4019102.27,401627.22,"19F 401627,22  4019102,27","WGS84",-70.4996083148321,-53.9670583462167
"5228","GC5228",4019965.81,401483.86,"19F 401483,86  4019965,81","WGS84",-70.5015139658165,-53.9592722509331
"5229","GC5229",4019944.03,401418.69,"19F 401418,69  4019944,03","WGS84",-70.5025139026116,-53.9594555268328
"5230","GC5230",4022187.57,400545.71,"19F 400545,71  4022187,57","WGS84",-70.5150832573368,-53.9391305670344
"5231","GC5231",4022166.99,400566.57,"19F 400566,57  4022166,99","WGS84",-70.5147722987551,-53.9393194825474
"5232","GC5232",4022054.01,400574.64,"19F 400574,64  4022054,01","WGS84",-70.5146861844899,-53.9403361425215
"5233","GC5233",4022015.51,400581.12,"19F 400581,12  4022015,51","WGS84",-70.5146000357274,-53.9406833043113
"5234","GC5234",4021876.05,400565.68,"19F 400565,68  4021876,05","WGS84",-70.5148805711175,-53.9419333676257
"5235","GC5235",4021827.81,400608.3,"19F 400608,3  4021827,81","WGS84",-70.5142472059899,-53.9423749825693
"5236","GC5236",4021812.77,400627.77,"19F 400627,77  4021812,77","WGS84",-70.5139555858323,-53.942513853017
"5237","GC5237",4021692.26,400746.53,"19F 400746,53  4021692,26","WGS84",-70.5121861171536,-53.943619405044
"5238","GC5238",4021711.97,400714.37,"19F 400714,37  4021711,97","WGS84",-70.5126694973594,-53.9434361455281
"5239","GC5239",4021794.85,400642.93,"19F 400642,93  4021794,85","WGS84",-70.5137305393882,-53.9426777719049
"5240","GC5240",4020495.16,400977.76,"19F 400977,76  4020495,16","WGS84",-70.5090528523267,-53.9544194863837
"5241","GC5241",4020661.96,400622.82,"19F 400622,82  4020661,96","WGS84",-70.514405576917,-53.9528527635467
"5242","GC5242",4020635.39,400666.97,"19F 400666,97  4020635,39","WGS84",-70.5137416834242,-53.9530999684017
"5243","GC5243",4020603.22,400709.96,"19F 400709,96  4020603,22","WGS84",-70.5130972745582,-53.9533972622021
"5244","GC5244",4020484.27,401236.01,"19F 401236,01  4020484,27","WGS84",-70.5051222666972,-53.954566691694
"5245","GC5245",4020490.2,401180.27,"19F 401180,27  4020490,2","WGS84",-70.5059694773651,-53.9545027685042
"5246","GC5246",4019576.54,400798.8,"19F 400798,8  4019576,54","WGS84",-70.5120777641902,-53.9626388669103
"5247","GC5247",4019599.08,400768.78,"19F 400768,78  4019599,08","WGS84",-70.512527836318,-53.9624305903702
"5248","GC5248",4019927.89,400458.56,"19F 400458,56  4019927,89","WGS84",-70.5171472308278,-53.9594166847982
"5249","GC5249",4019935,400429.6,"19F 400429,6  4019935","WGS84",-70.5175861293914,-53.9593472294083
"5250","GC5250",4019932.62,400376.05,"19F 400376,05  4019932,62","WGS84",-70.5184027641952,-53.9593583034422
"5251","GC5251",4019944.93,400359.01,"19F 400359,01  4019944,93","WGS84",-70.518658355501,-53.9592444184916
"5252","GC5252",4019955.61,400338.36,"19F 400338,36  4019955,61","WGS84",-70.5189694775074,-53.9591444828022
"5253","GC5253",4020066.08,400184.48,"19F 400184,48  4020066,08","WGS84",-70.5212777500208,-53.9581222630258
"5254","GC5254",4020133.51,400085.12,"19F 400085,12  4020133,51","WGS84",-70.5227694138459,-53.9574972375659
"5255","GC5255",4020204.38,400016.68,"19F 400016,68  4020204,38","WGS84",-70.5237888550763,-53.9568472625108
"5256","GC5256",4021110.61,400149.1,"19F 400149,1  4021110,61","WGS84",-70.5214750136397,-53.9487305264086
"5257","GC5257",4020954.36,400143.34,"19F 400143,34  4020954,36","WGS84",-70.5216138598151,-53.9501332933973
"5258","GC5258",4021603.03,400217.87,"19F 400217,87  4021603,03","WGS84",-70.5202666080224,-53.9443194799953
"5259","GC5259",4022376.36,400237.58,"19F 400237,58  4022376,36","WGS84",-70.5197138241098,-53.9373750316014
"5260","GC5260",4022329.85,400230.91,"19F 400230,91  4022329,85","WGS84",-70.5198305811057,-53.9377916315241
"5261","GC5261",4022396.57,400401.32,"19F 400401,32  4022396,57","WGS84",-70.5172138947539,-53.9372249731884
"5262","GC5262",4020612.73,399698.08,"19F 399698,08  4020612,73","WGS84",-70.5285083333561,-53.9531166565379
"5263","GC5263",4020640.05,399660.29,"19F 399660,29  4020640,05","WGS84",-70.5290750097171,-53.9528638654172
"5264","GC5264",4020723.39,399611.26,"19F 399611,26  4020723,39","WGS84",-70.5297944708354,-53.9521055635788
"5265","GC5265",4020482.26,399999.58,"19F 399999,58  4020482,26","WGS84",-70.5239582998468,-53.954347260706
"5266","GC5266",4020392.72,399976.16,"19F 399976,16  4020392,72","WGS84",-70.52434441887,-53.9551472329428
"5267","GC5267",4020422.14,399978.26,"19F 399978,26  4020422,14","WGS84",-70.5243027847243,-53.9548833060455
"5268","GC5268",4016816.71,402775.36,"19F 402775,36  4016816,71","WGS84",-70.4828415962595,-53.9878110855562
"5269","GC5269",4016820.8,402763.97,"19F 402763,97  4016820,8","WGS84",-70.4830139431414,-53.9877721942167
"5270","GC5270",4030843.78,386743.2,"19F 386743,2  4030843,78","WGS84",-70.7220500646218,-53.8585277518099
"5271","GC5271",4037503.17,399429.01,"19F 399429,01  4037503,17","WGS84",-70.5270666215374,-53.8013055836521
"5272","GC5272",4037984.18,398839.36,"19F 398839,36  4037984,18","WGS84",-70.5358583553133,-53.7968694053001
"5273","GC5273",4037960.3,398878.86,"19F 398878,86  4037960,3","WGS84",-70.5352667267581,-53.7970916440634
"5274","GC5274",4037962.39,398904.26,"19F 398904,26  4037962,39","WGS84",-70.5348805590929,-53.7970778005515
"5275","GC5275",4037959.42,398924.09,"19F 398924,09  4037959,42","WGS84",-70.5345805845226,-53.7971083380253
"5276","GC5276",4042264.49,393216.68,"19F 393216,68  4042264,49","WGS84",-70.619705610593,-53.7572889210698
"5277","GC5277",4044751.1,395381.12,"19F 395381,12  4044751,1","WGS84",-70.5860472371961,-53.7353861098383
"5278","GC5278",4056059.21,395868.96,"19F 395868,96  4056059,21","WGS84",-70.5748583042408,-53.6338805231418
"5279","GC5279",4056036.51,395863.03,"19F 395863,03  4056036,51","WGS84",-70.5749555490418,-53.6340833046198
"5280","GC5280",4056028.76,395862.28,"19F 395862,28  4056028,76","WGS84",-70.5749694812617,-53.6341527897159
"5281","GC5281",4055928.3,395946.82,"19F 395946,82  4055928,3","WGS84",-70.5737250352615,-53.6350722414613
"5282","GC5282",4055924.15,395926.7,"19F 395926,7  4055924,15","WGS84",-70.574030596965,-53.6351055296821
"5283","GC5283",4055946.67,396008.52,"19F 396008,52  4055946,67","WGS84",-70.5727861161007,-53.6349194466386
"5284","GC5284",4048719.34,389049.16,"19F 389049,16  4048719,34","WGS84",-70.6805749283318,-53.6984250401908
"5285","GC5285",4047917.89,390202.33,"19F 390202,33  4047917,89","WGS84",-70.6633999681959,-53.7058694393009
"5286","GC5286",4047942.82,390157.72,"19F 390157,72  4047942,82","WGS84",-70.664066642632,-53.7056360710167
"5287","GC5287",4048809.83,390983.97,"19F 390983,97  4048809,83","WGS84",-70.6512499959622,-53.6980194765071
"5288","GC5288",4048781.07,391023.35,"19F 391023,35  4048781,07","WGS84",-70.6506638976199,-53.6982860932609
"5289","GC5289",4048764.88,391045.01,"19F 391045,01  4048764,88","WGS84",-70.6503416559992,-53.6984360737664
