,Unnamed: 0,decimalLongitude,decimalLatitude,verbatimSRS,geodeticDatum,continent,country,countryCode,stateProvince,county,municipality,verbatimCoordinates,verbatimCoordinateSystem,dynamicProperties,coordinateUncertaintyInMeters,coordinatePrecision,georeferencedDate,georeferenceProtocol 
13,14,-70.1888172,-18.5179629,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.5179629230696 -70.1888172187482,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:48:59.347Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
14,15,-70.1937072,-18.5127993,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.5127993388375 -70.193707156877,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:48:59.832Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
15,16,-70.2798985,-18.4941991,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.4941991178848 -70.279898460737,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:00.317Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
16,17,-69.7707988,-18.8351438,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.8351438038879 -69.7707987902295,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:00.827Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
17,18,-70.1560109,-18.8058898,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.8058897869754 -70.156010891726,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:01.381Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
18,19,-70.1602536,-18.8060803,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.8060803288834 -70.1602536473926,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:01.903Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
19,20,-70.1632071,-18.807815,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Camarones,-18.8078150013742 -70.1632070682643,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:02.408Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
20,21,-70.1521317,-18.8117061,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Camarones,-18.8117061197665 -70.1521316549994,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:02.926Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
21,22,-70.1344044,-18.8270141,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Camarones,-18.8270140635796 -70.1344043795194,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:03.440Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
22,23,-70.1290911,-18.831438,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Camarones,-18.8314380348294 -70.1290910873087,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:03.952Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
23,24,-70.1229518,-18.8358578,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Camarones,-18.8358578079844 -70.122951816444,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:04.489Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
24,25,-70.1394886,-18.8238474,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Camarones,-18.8238474157575 -70.139488624035,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:05.010Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
25,26,-70.176738,-18.5177312,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.5177312393222 -70.1767380336918,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:05.543Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
26,27,-70.078054,-18.5741131,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.5741130913785 -70.0780540406312,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:06.075Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
