"","ID","kingdom","class","family","acceptedNameUsage","infraspecificEpithet","vernacularName","establishmentMeans","CATEGORÍA.DE.CONSERVACIÓN","basisOfRecord","institution","recordedBy","year","month","day","locality","locationRemarks","county","stateProvince","municipality","PRECISIÓN.DATO","verbatimLongitude","verbatimLatitude","verbatimElevation","verbatimCoordinateSystem","verbatimSRS","HUSO","occurrenceRemarks","datasetName","dynamicProperties"
"58",1089,"Animalia","Aves","Charadriidae","Charadrius vociferus","","Chorlo gritón","Nativa","LC","Publicación","","MARIN M, E COUVE & C VIDAL","2002",NA,NA,"Arica","Desembocadura Río Lluta","Arica","Arica y Parinacota","Arica","Publicado","70°19'W","18°25'S",11,"","WGS84","19 K","Coordenadas mencionadas por la fuente del registro","","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"59",1097,"Animalia","Aves","Charadriidae","Oreopholus ruficollis","","Chorlo de campo","Nativa","LC","Publicación","CEA","CEA- Quiborax","1996",NA,NA,"Surire","Salar","Parinacota","Arica y Parinacota","Putre","Publicado","69°09'O","18°50'S",4400,"","WGS84","19k","","","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"60",1101,"Animalia","Aves","Charadriidae","Phegornis mitchellii","","Chorlito cordillerano","Nativa","NT","Publicación","Aves de Chile (UNORCH)","R. Barros","2006",6,16,"Las Cuevas","Bofedal","Parinacota","Arica y Parinacota","Putre","Publicado","69° 27' 54.14""O","18° 9' 35.42""S",NA,"","WGS84","19k","","","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"61",1122,"Animalia","Aves","Charadriidae","Pluvialis dominica","","Chorlo dorado","Nativa","LC","Publicación","Aves de Chile (UNORCH)","R. Barros","2006",6,14,"Arica","Desembocadura Río Lluta","Arica","Arica y Parinacota","Arica","Publicado","70° 19' 19.68""O","18° 25' 0.02""S",11,"","WGS84","19k","","","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"62",1128,"Animalia","Aves","Charadriidae","Vanellus resplendens","","Queltehue de la puna","Nativa","LC","Publicación","Aves de Chile (UNORCH)","R. Peredo","2007",2,NA,"Arica","Desembocadura Río Lluta","Arica","Arica y Parinacota","Arica","Publicado","70° 19' 19.68""O","18° 25' 0.02""S",11,"","WGS84","19k","","","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"63",1131,"Animalia","Aves","Charadriidae","Vanellus resplendens","","Queltehue de la puna","Nativa","LC","Publicación","CEA","CEA- Quiborax","1996",NA,NA,"Surire","Salar","Parinacota","Arica y Parinacota","Putre","Publicado","69°09'O","18°50'S",4400,"","WGS84","19k","","","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"64",1136,"Animalia","Aves","Ciconiidae","Mycteria americana","","Cigüeña de cabeza pelada","Nativa","LC","Publicación","Aves de Chile (UNORCH)","R. Peredo","2007",2,NA,"Arica","Desembocadura Río Lluta","Arica","Arica y Parinacota","Arica","Publicado","70° 19' 19.68""O","18° 25' 0.02""S",11,"","WGS84","19k","","","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"65",1188,"Animalia","Aves","Columbidae","Columbina cruziana","","Tortolita quiguagua","Nativa","LC","Publicación","Aves de Chile (UNORCH)","","2009",10,NA,"Valle de Chaca","Desierto interior-matorral ripario de las quebradas y oasis","Arica","Arica y Parinacota","Arica","Publicado","70° 10'O","18° 48'S",290,"","WGS84","19k","Coordenadas corresponden a punto de muestreo indicado por la fuente","Estudio de Línea Base, Zonificación y Guía de Manejo de un Predio Fiscal, Sitio Prioritario para la Conservación de la Biodiversidad en la Quebrada de Chaca, Región de Arica y Parinacota","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"66",1386,"Animalia","Aves","Columbidae","Metriopelia melanoptera","","Tórtola cordillerana","Nativa","LC","Publicación","CEA","CEA- Quiborax","1996",NA,NA,"Surire","Salar","Parinacota","Arica y Parinacota","Putre","Publicado","69°09'O","18°50'S",4400,"","WGS84","19k","","","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"67",1415,"Animalia","Aves","Columbidae","Zenaida auriculata","","Tórtola","Nativa","LC","Publicación","Aves de Chile (UNORCH)","","2009",10,NA,"Valle de Chaca","Desierto interior-matorral ripario de las quebradas y oasis","Arica","Arica y Parinacota","Arica","Publicado","70° 10'O","18° 48'S",290,"","WGS84","19k","Coordenadas corresponden a punto de muestreo indicado por la fuente","Estudio de Línea Base, Zonificación y Guía de Manejo de un Predio Fiscal, Sitio Prioritario para la Conservación de la Biodiversidad en la Quebrada de Chaca, Región de Arica y Parinacota","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
