occurrenceID,verbatimCoordinates,verbatimLatitude,verbatimLongitude,decimalLatitude,decimalLongitude,continent,verbatimCoordinateSystem,country,georeferenceSources,locality,countryCode,stateProvince,county
PBUCH:SQF:3808,,,,-39.884176,-73.43045,South America,,Chile,GeoParser Marcelo Oyaneder | GeoPy,Amargos, Corral, Provincia de Valdivia, Región de Los Ríos, Chile,CL,Región de Los Ríos,Provincia de Valdivia
PBUCH:SQF:3809,,,,-41.48917,-72.79531,South America,,Chile,GeoParser Marcelo Oyaneder | GeoPy,Piedra Azul - Río Chamiza, Parpalén, Puerto Montt, Provincia de Llanquihue, Región de Los Lagos, Chile,CL,Región de Los Lagos,Provincia de Llanquihue
PBUCH:SQF:3810,,,,-41.48917,-72.79531,South America,,Chile,GeoParser Marcelo Oyaneder | GeoPy,Piedra Azul - Río Chamiza, Parpalén, Puerto Montt, Provincia de Llanquihue, Región de Los Lagos, Chile,CL,Región de Los Lagos,Provincia de Llanquihue
PBUCH:SQF:3811,,,,-39.86601,-73.39554,South America,,Chile,GeoParser Marcelo Oyaneder | GeoPy,Villa El Delfín, Las Canteras, Valdivia, Provincia de Valdivia, Región de Los Ríos, Chile,CL,Región de Los Ríos,Provincia de Valdivia
PBUCH:SQF:3812,,,,-39.884176,-73.43045,South America,,Chile,GeoParser Marcelo Oyaneder | GeoPy,Amargos, Corral, Provincia de Valdivia, Región de Los Ríos, Chile,CL,Región de Los Ríos,Provincia de Valdivia
PBUCH:SQF:3813,,,,-39.884176,-73.43045,South America,,Chile,GeoParser Marcelo Oyaneder | GeoPy,Amargos, Corral, Provincia de Valdivia, Región de Los Ríos, Chile,CL,Región de Los Ríos,Provincia de Valdivia
PBUCH:SQF:3813H1,,,,,,,,,,,,,
PBUCH:SQF:3814,,,,-46.5,-73.5,South America,,Chile,GeoParser Marcelo Oyaneder | GeoPy,Aysén, Provincia de Aysén, Región Aysén del General Carlos Ibáñez del Campo, Chile,CL,Región Aysén del General Carlos Ibáñez del Campo,Provincia de Aysén
PBUCH:SQF:3815,,,,-39.884176,-73.43045,South America,,Chile,GeoParser Marcelo Oyaneder | GeoPy,Amargos, Corral, Provincia de Valdivia, Región de Los Ríos, Chile,CL,Región de Los Ríos,Provincia de Valdivia
PBUCH:SQF:3816,,,,-32.84296,-71.47384,South America,,Chile,GeoParser Marcelo Oyaneder | GeoPy,Las Grullas, Condominio Campo Mar Dos, Quintero, Provincia de Valparaíso, Región de Valparaíso, Chile,CL,Región de Valparaíso,Provincia de Valparaíso
PBUCH:SQF:3817,,,,-39.81784,-73.17509,South America,,Chile,GeoParser Marcelo Oyaneder | GeoPy,Cuesta de Soto, Valdivia, Provincia de Valdivia, Región de Los Ríos, Chile,CL,Región de Los Ríos,Provincia de Valdivia
PBUCH:SQF:3817H1,,,,,,,,,,,,,
PBUCH:SQF:3818,,,,-39.86072,-73.43305,South America,,Chile,GeoParser Marcelo Oyaneder | GeoPy,Fuerte San Carlos, Corral - San Carlos - El Huape - Cruce T-470 (Chaihuín), Palo Muerto, Corral, Provincia de Valdivia, Región de Los Ríos, Chile,CL,Región de Los Ríos,Provincia de Valdivia
PBUCH:SQF:3818H1,,,,,,,,,,,,,
PBUCH:SQF:3821,,,,-39.9333,-73.55,South America,,Chile,GeoParser Marcelo Oyaneder | GeoPy,Cruce T-800 (Hueicolla) - Cruce T-720 (Quitaluto), Pan de Azúcar, Corral, Provincia de Valdivia, Región de Los Ríos, Chile,CL,Región de Los Ríos,Provincia de Valdivia
PBUCH:SQF:3822,,,,-33.425278,-70.633333,South America,,Chile,GeoParser Marcelo Oyaneder | GeoPy,Santuario Inmaculada Concepción, Monseñor Mariano Casanova, Providencia, Provincia de Santiago, Región Metropolitana de Santiago, 7500000, Chile,CL,Región Metropolitana de Santiago,Provincia de Santiago
PBUCH:SQF:3822H1,,,,,,,,,,,,,
PBUCH:SQF:3823,,,,-25.0167 ,-70.2667,South America,,Chile,GeoParser Marcelo Oyaneder | GeoPy,Taltal, Provincia de Antofagasta, Región de Antofagasta, Chile,CL,Región de Antofagasta,Provincia de Antofagasta
