"","decimalLongitude","decimalLatitude","verbatimSRS","geodeticDatum","continent","country","countryCode","stateProvince","county","municipality","verbatimCoordinates"
"58",-70.0808216825434,-18.5666961027161,"unknown","unknown","","","","","","","-18.5666961027161 -70.0808216825434"
"59",-70.1888266909481,-18.5179628635135,"unknown","unknown","","","","","","","-18.5179628635135 -70.1888266909481"
"60",-70.2455499204041,-18.5037990627512,"unknown","unknown","","","","","","","-18.5037990627512 -70.2455499204041"
"61",-70.2648268931517,-18.4937763185515,"unknown","unknown","","","","","","","-18.4937763185515 -70.2648268931517"
"62",-70.2688312932941,-18.4896650683623,"unknown","unknown","","","","","","","-18.4896650683623 -70.2688312932941"
"63",-70.032231501605,-18.5810206294928,"unknown","unknown","","","","","","","-18.5810206294928 -70.032231501605"
"64",-69.9434185136511,-18.583049380333,"unknown","unknown","","","","","","","-18.583049380333 -69.9434185136511"
"65",-69.9676492213913,-18.5794382619601,"unknown","unknown","","","","","","","-18.5794382619601 -69.9676492213913"
"66",-70.037348690185,-18.5810015804676,"unknown","unknown","","","","","","","-18.5810015804676 -70.037348690185"
"67",-69.9992916355704,-18.5827434218596,"unknown","unknown","","","","","","","-18.5827434218596 -69.9992916355704"
"68",-70.0845248805383,-18.5739133289959,"unknown","unknown","","","","","","","-18.5739133289959 -70.0845248805383"
"69",-69.938634687591,-18.5799464166706,"unknown","unknown","","","","","","","-18.5799464166706 -69.938634687591"
"70",-69.8782025562071,-18.583816321687,"unknown","unknown","","","","","","","-18.583816321687 -69.8782025562071"
"71",-69.9001328550057,-18.5839297773485,"unknown","unknown","","","","","","","-18.5839297773485 -69.9001328550057"
"72",-69.9066216732225,-18.5833835633454,"unknown","unknown","","","","","","","-18.5833835633454 -69.9066216732225"
"73",-69.9193537292452,-18.5860059378998,"unknown","unknown","","","","","","","-18.5860059378998 -69.9193537292452"
"74",-69.9262207721448,-18.5853035720565,"unknown","unknown","","","","","","","-18.5853035720565 -69.9262207721448"
"75",-69.9336131737174,-18.5836313845107,"unknown","unknown","","","","","","","-18.5836313845107 -69.9336131737174"
"76",-69.94832765152,-18.5779368634476,"unknown","unknown","","","","","","","-18.5779368634476 -69.94832765152"
"77",-70.1490005491236,-18.5359390464223,"unknown","unknown","","","","","","","-18.5359390464223 -70.1490005491236"
"78",-70.1767475059204,-18.5177311803719,"unknown","unknown","","","","","","","-18.5177311803719 -70.1767475059204"
"79",-70.206950452031,-18.5088928271152,"unknown","unknown","","","","","","","-18.5088928271152 -70.206950452031"
"80",-70.2237712870672,-18.5100137149306,"unknown","unknown","","","","","","","-18.5100137149306 -70.2237712870672"
"81",-70.2671546638311,-18.4960650307773,"unknown","unknown","","","","","","","-18.4960650307773 -70.2671546638311"
"82",-70.0780635730898,-18.5741220737019,"unknown","unknown","","","","","","","-18.5741220737019 -70.0780635730898"
"83",-70.0689833832897,-18.5752943278235,"unknown","unknown","","","","","","","-18.5752943278235 -70.0689833832897"
"84",-70.0901043864208,-18.5587083875792,"unknown","unknown","","","","","","","-18.5587083875792 -70.0901043864208"
"85",-70.1436377923242,-18.5386916283786,"unknown","unknown","","","","","","","-18.5386916283786 -70.1436377923242"
"86",-69.9842856732504,-18.5770296349291,"unknown","unknown","","","","","","","-18.5770296349291 -69.9842856732504"
"87",-70.067120313872,-18.5758922738405,"unknown","unknown","","","","","","","-18.5758922738405 -70.067120313872"
"88",-70.0596428199147,-18.578826232075,"unknown","unknown","","","","","","","-18.578826232075 -70.0596428199147"
